threshold,seed,hmm_accuracy,total_pnl,sharpe,n_retrains,detection_lag,acc_trending,acc_mean_reverting,acc_volatile
0.6,964186352,0.5696,1940.0,0.2153,3,2.57,0.5526,0.32,1.0
0.35,640410043,0.8481,1964.0,0.1968,0,1.11,0.7273,0.7391,1.0
0.35,1186265066,0.4937,1920.0,0.1931,6,1.0,0.931,0.0455,0.3929
0.35,296436526,0.7722,2256.0,0.2408,1,1.57,0.7368,0.5789,1.0
0.6,2113122740,0.8861,2640.0,0.2234,0,1.12,0.7059,0.8,1.0
0.6,834685038,0.7722,1966.0,0.1966,0,1.14,0.6765,0.7308,1.0
0.2,223254645,0.519,1870.0,0.2244,6,1.29,0.7308,0.3889,0.4706
0.5,1405015024,0.5063,2040.0,0.1958,4,1.4,0.4231,0.36,0.7143
0.2,5094424,0.9494,2190.0,0.2107,0,1.29,1.0,0.75,1.0
0.6,213218989,0.8861,2054.0,0.228,0,1.29,0.7857,0.7,1.0
0.35,1081333131,0.8734,1906.0,0.2143,0,1.12,0.9375,0.7632,1.0
0.2,807717337,0.8608,2628.0,0.2234,1,1.38,1.0,0.6333,1.0
0.6,1874769117,0.7215,2086.0,0.2119,0,1.5,0.3571,0.3158,1.0
0.2,1909300243,0.557,2162.0,0.227,7,1.83,0.4839,0.6,0.6061
0.35,51148469,0.7722,2228.0,0.2267,2,2.0,0.7778,0.5652,1.0
0.35,2120469179,0.8481,1950.0,0.2281,0,1.25,0.9697,0.6944,1.0
0.2,1122495738,0.7468,2054.0,0.1972,3,1.62,0.6786,0.7105,1.0
0.6,1108730044,0.8861,2098.0,0.217,0,1.43,0.8333,0.6667,1.0
0.2,358980505,0.519,1810.0,0.1968,5,1.4,0.931,0.2826,0.25
0.35,602528191,0.8101,1966.0,0.1971,1,1.29,0.75,0.5263,1.0
0.5,1957332302,0.7722,2280.0,0.2182,0,1.5,0.8947,0.5789,1.0
0.35,1795959836,0.8481,1980.0,0.2132,1,1.86,0.8824,0.5,1.0
0.35,53311520,0.7722,2506.0,0.2302,2,1.62,0.7429,0.7273,0.8182
0.35,1334261101,0.7975,1918.0,0.1955,1,1.25,0.6111,0.75,1.0
0.5,2136184970,0.8608,2016.0,0.2151,0,1.29,0.9375,0.6923,0.9524
0.35,221152878,0.8481,1928.0,0.2154,0,1.12,0.9375,0.7105,1.0
0.5,1134333716,0.7722,1921.0,0.1941,0,1.5,0.7143,0.7143,1.0
0.5,317576362,0.519,2168.0,0.2105,4,1.83,0.85,0.3125,0.5185
0.2,724189145,0.7468,2200.0,0.2105,3,1.33,0.7895,0.4483,1.0
0.35,1378858883,0.9114,2160.0,0.2104,0,1.11,1.0,0.7308,1.0
0.5,1915794971,0.8987,2692.0,0.2236,0,1.56,0.8529,0.7273,1.0
0.35,1656181562,0.6582,2164.0,0.2177,3,2.0,0.6667,0.575,0.7778
0.35,1802169188,0.7722,2036.0,0.1957,2,2.29,0.6383,0.75,1.0
0.5,1840188673,0.8101,2366.0,0.1935,0,1.5,0.5938,0.7143,1.0
0.5,969560541,0.8228,2126.0,0.2347,0,1.29,0.7931,0.7419,1.0
0.5,1374175213,0.7342,1988.0,0.1958,2,2.0,0.5652,0.56,1.0
0.6,413751564,0.6835,1904.0,0.1964,1,2.12,0.6596,0.5263,1.0
0.5,307891538,0.9241,2160.0,0.2104,0,1.38,1.0,0.6471,1.0
0.2,855583574,0.6329,2066.0,0.2109,6,1.17,0.7838,0.2222,1.0
0.5,917153995,0.8228,2164.0,0.1968,0,1.67,0.6667,0.7037,1.0
0.5,1493472360,0.7342,1972.0,0.2217,0,2.0,0.7826,0.4483,1.0
0.2,58399064,0.4557,2326.0,0.2388,7,1.5,1.0,0.2353,0.2857
0.6,530232190,0.8608,1894.0,0.2244,0,1.14,0.9091,0.7429,1.0
0.35,1614260320,0.3544,1994.0,0.1971,6,4.33,0.6,0.1212,0.4839
0.5,647396349,0.7848,2166.0,0.2349,0,1.0,0.8148,0.7209,1.0
0.35,1389514267,0.5063,2028.0,0.2143,6,2.0,0.6087,0.1154,0.7667
0.2,633741096,0.8608,2271.0,0.2475,0,1.43,0.8857,0.72,1.0
0.35,1449283650,0.7595,1916.0,0.21,1,1.43,0.8148,0.697,0.7895
0.2,159526723,0.6582,2224.0,0.2181,4,1.29,0.8857,0.3871,0.6923
0.5,1275603414,0.8608,2058.0,0.2334,0,1.0,0.9333,0.7097,1.0
0.5,1162699063,0.8354,2015.0,0.2195,0,1.29,0.8065,0.7407,1.0
0.35,1588891997,0.4304,2186.0,0.2434,5,2.67,0.6071,0.1786,0.5217
0.2,887144875,0.481,1980.0,0.2132,6,2.29,0.8929,0.2368,0.3077
0.2,2083418490,0.4051,1992.0,0.2159,7,1.0,0.8056,0.0857,0.0
0.2,1430420701,0.8228,2296.0,0.2278,1,1.17,0.7692,0.6207,1.0
0.6,1259021668,0.4177,2116.0,0.2101,3,3.14,0.6562,0.1786,0.3684
0.2,1878392480,0.8734,1936.0,0.2443,0,1.14,0.96,0.7353,1.0
0.6,1387698747,0.8734,2640.0,0.2234,0,1.14,0.875,0.7391,1.0
0.6,1032018938,0.7089,1912.0,0.1961,0,1.62,0.5333,0.6786,1.0
0.5,724160020,0.6709,1809.0,0.1956,3,1.33,0.85,0.2308,1.0
0.35,1763201380,0.6709,2018.0,0.2153,3,1.2,0.75,0.7391,0.25
0.5,1180947112,0.7468,2022.0,0.1954,3,2.83,0.8235,0.44,1.0
