condition,experiment,speed,session_length,meta,seed,hmm_accuracy,total_pnl,sharpe,n_vetoes,n_retrains,detection_lag,acc_trending,acc_mean_reverting,acc_volatile,lag_trending_to_mean_rev,lag_trending_to_volatile,lag_mean_rev_to_trending,lag_mean_rev_to_volatile,lag_volatile_to_trending,lag_volatile_to_mean_rev,pnl_when_correct,pnl_when_incorrect,avg_pnl_correct,avg_pnl_incorrect,conf_at_transition,conf_at_stable
sesslen_180,session_sweep,medium,180.0,False,1175286378,0.6835,2224.0,0.2156,42,0,2.5,0.5294,0.619,0.9583,1.0,1.0,2.0,1.0,4.0,6.0,1592.0,632.0,106.13,28.73,0.9999,0.9524
sesslen_300,session_sweep,medium,300.0,False,261244933,0.7215,2278.0,0.1926,37,0,1.14,0.6667,0.7059,0.85,1.0,1.5,1.0,0.0,1.0,0.0,1608.0,670.0,69.91,35.26,0.9447,0.9719
very_fast_meta,speed_sweep,very_fast,300.0,True,1485783375,0.8101,1862.0,0.2181,48,0,1.15,0.7667,0.6522,1.0,1.0,1.0,1.4,1.0,1.25,2.0,770.0,1092.0,48.12,72.8,0.9854,0.9534
slow_meta,speed_sweep,slow,300.0,True,496693555,0.5063,2472.0,0.2093,19,3,2.33,0.7222,0.0476,0.5909,4.0,0.0,0.0,1.0,2.0,0.0,832.0,1640.0,30.81,49.7,1.0,0.9866
sesslen_120,session_sweep,medium,120.0,False,337677355,0.4684,2732.0,0.2378,50,0,1.71,0.4706,0.4815,0.4444,1.5,2.0,2.0,1.0,0.0,2.0,568.0,2164.0,43.69,135.25,0.9655,0.9917
medium_meta,speed_sweep,medium,300.0,True,913425027,0.7342,1738.0,0.2208,41,0,2.0,0.4074,0.6923,0.9744,0.0,1.333,0.0,1.0,3.0,2.0,888.0,850.0,44.4,47.22,0.9997,0.9762
medium_meta,speed_sweep,medium,300.0,True,103616607,0.7975,1856.0,0.1965,43,0,1.12,0.8125,0.675,1.0,1.0,1.0,1.5,1.0,0.0,1.0,536.0,1320.0,23.3,101.54,0.9993,0.9478
sesslen_180,session_sweep,medium,180.0,False,208899192,0.6329,2048.0,0.2239,27,0,1.17,0.9048,0.0,0.9118,0.0,1.5,1.0,1.0,1.0,0.0,482.0,1566.0,15.55,74.57,0.9851,0.9936
sesslen_180,session_sweep,medium,180.0,False,246217714,0.7595,2048.0,0.2368,48,0,1.38,0.7391,0.6486,1.0,1.0,1.0,1.667,1.0,0.0,2.0,1378.0,670.0,76.56,51.54,1.0,0.9628
very_fast_meta,speed_sweep,very_fast,300.0,True,1303992867,0.7722,2124.0,0.196,45,0,1.16,0.6364,0.5238,1.0,1.0,1.0,1.25,1.0,1.667,1.333,1374.0,750.0,85.88,41.67,0.9997,0.9885
sesslen_300,session_sweep,medium,300.0,False,224786888,0.8101,1906.0,0.2143,45,0,1.75,0.6,0.7222,1.0,0.0,1.0,2.0,1.0,3.0,1.5,1278.0,628.0,60.86,48.31,0.9998,0.9942
medium_meta,speed_sweep,medium,300.0,True,428413318,0.6582,2206.0,0.2214,42,0,1.0,0.625,0.625,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1528.0,678.0,80.42,37.67,0.9045,0.9339
slow_meta,speed_sweep,slow,300.0,True,1644420439,0.8101,2234.0,0.2143,45,0,1.33,0.8636,0.7209,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2234.0,0.0,111.7,0.0,1.0,0.9832
sesslen_60,session_sweep,medium,60.0,False,385523268,0.7089,2356.0,0.1871,54,0,1.2,0.0,0.7143,0.8723,0.0,2.0,0.0,1.0,0.0,1.0,1360.0,996.0,113.33,76.62,0.9765,0.977
slow_nometa,speed_sweep,slow,300.0,False,1496659647,0.8354,1956.0,0.2152,45,0,1.0,1.0,0.7027,0.9259,0.0,0.0,1.0,1.0,0.0,1.0,590.0,1366.0,28.1,105.08,0.9994,0.988
medium_nometa,speed_sweep,medium,300.0,False,818713298,0.7595,2178.0,0.1931,39,0,1.5,0.7,0.7222,1.0,1.5,1.0,1.5,1.0,0.0,2.0,550.0,1628.0,26.19,85.68,0.9996,0.9876
sesslen_180,session_sweep,medium,180.0,False,1268922874,0.6456,1958.0,0.2162,48,0,1.44,0.4242,0.5,0.9667,1.0,1.0,1.0,1.0,2.333,0.0,0.0,1958.0,0.0,108.78,0.9919,0.9549
medium_nometa,speed_sweep,medium,300.0,False,110823769,0.7089,2032.0,0.1971,51,0,1.29,0.2727,0.7667,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,2032.0,0.0,112.89,0.9969,0.9812
very_fast_meta,speed_sweep,very_fast,300.0,True,1816084264,0.8354,2144.0,0.22,50,0,1.1,0.88,0.6429,1.0,1.0,1.0,1.25,1.0,1.333,1.0,1506.0,638.0,94.12,49.08,0.9985,0.9984
slow_meta,speed_sweep,slow,300.0,True,330060128,0.7848,2622.0,0.2233,39,0,2.0,0.8824,0.6552,0.8485,0.0,0.0,0.0,1.0,2.0,3.0,1986.0,636.0,73.56,48.92,1.0,0.9687
very_fast_nometa,speed_sweep,very_fast,300.0,False,1085286309,0.7089,2104.0,0.2188,34,0,1.13,0.6071,0.64,0.8846,1.0,1.286,1.0,1.0,1.5,1.0,2104.0,0.0,87.67,0.0,0.9996,0.9958
sesslen_120,session_sweep,medium,120.0,False,1787096350,0.6076,1448.0,0.1571,50,0,1.0,0.0,0.7895,0.9429,0.0,1.0,0.0,0.0,0.0,1.0,866.0,582.0,48.11,52.91,0.9995,0.9926
